date,APMC,CommodityId,min_price,max_price,modal_price,arrivals_in_qtl,modal_price_nostationary_ma,rate_monthly_fluc,rate_frequency_fluc,Frequenc_Seasonality
2014-09-01,Shevgaon-Bodhegaon,1,1188,1280,1216,609,,0.003950018314113137,0.0314522988953395,6
2014-10-01,Shevgaon-Bodhegaon,1,1180,1281,1237,1324,,0.003950018314113137,0.0314522988953395,6
2014-11-01,Shevgaon-Bodhegaon,1,1274,1460,1351,2435,,0.003950018314113137,0.0314522988953395,6
2014-12-01,Shevgaon-Bodhegaon,1,1124,1345,1266,1047,,0.003950018314113137,0.0314522988953395,6
2015-01-01,Shevgaon-Bodhegaon,1,1150,1357,1285,1250,,0.003950018314113137,0.0314522988953395,6
2015-02-01,Shevgaon-Bodhegaon,1,1129,1242,1182,504,,0.003950018314113137,0.0314522988953395,6
2015-03-01,Shevgaon-Bodhegaon,1,1072,1217,1153,490,,0.003950018314113137,0.0314522988953395,6
2015-04-01,Shevgaon-Bodhegaon,1,1087,1225,1156,887,,0.003950018314113137,0.0314522988953395,6
2015-05-01,Shevgaon-Bodhegaon,1,1064,1202,1131,885,,0.003950018314113137,0.0314522988953395,6
2015-06-01,Shevgaon-Bodhegaon,1,1108,1227,1192,614,,0.003950018314113137,0.0314522988953395,6
2015-07-01,Shevgaon-Bodhegaon,1,1158,1212,1207,288,,0.003950018314113137,0.0314522988953395,6
2015-08-01,Shevgaon-Bodhegaon,1,1275,1368,1368,91,0.10914269956573808,0.003950018314113137,0.0314522988953395,6
2015-09-01,Shevgaon-Bodhegaon,1,1355,1483,1483,596,0.17331825355352404,0.003950018314113137,0.0314522988953395,6
2015-10-01,Shevgaon-Bodhegaon,1,1307,1411,1411,821,0.11258239831337846,0.003950018314113137,0.0314522988953395,6
2015-11-01,Shevgaon-Bodhegaon,1,1335,1450,1450,1415,0.1339540737539826,0.003950018314113137,0.0314522988953395,6
2015-12-01,Shevgaon-Bodhegaon,1,1400,1591,1591,1551,0.20771156454101103,0.003950018314113137,0.0314522988953395,6
2016-01-01,Shevgaon-Bodhegaon,1,1390,1549,1549,1069,0.16538747302946444,0.003950018314113137,0.0314522988953395,6
2016-02-01,Shevgaon-Bodhegaon,1,1374,1546,1546,715,0.1410769424948528,0.003950018314113137,0.0314522988953395,6
2016-03-01,Shevgaon-Bodhegaon,1,1414,1643,1643,606,0.17241678157073625,0.003950018314113137,0.0314522988953395,6
2016-04-01,Shevgaon-Bodhegaon,1,1520,1704,1704,564,0.17653698274298435,0.003950018314113137,0.0314522988953395,6
2016-05-01,Shevgaon-Bodhegaon,1,1576,1725,1725,414,0.15360853370673855,0.003950018314113137,0.0314522988953395,6
2016-06-01,Shevgaon-Bodhegaon,1,1598,1740,1732,473,0.12652127323890205,0.003950018314113137,0.0314522988953395,6
2016-07-01,Shevgaon-Bodhegaon,1,1596,1782,1782,948,0.12251425990284037,0.003950018314113137,0.0314522988953395,6
2016-08-01,Shevgaon-Bodhegaon,1,1521,1697,1697,1330,0.05568056985200087,0.003950018314113137,0.0314522988953395,6
2016-09-01,Shevgaon-Bodhegaon,1,1360,1596,1593,812,-0.013525049453187776,0.003950018314113137,0.0314522988953395,6
2016-10-01,Shevgaon-Bodhegaon,1,995,1370,1370,2090,-0.16187601278851105,0.003950018314113137,0.0314522988953395,6
2016-11-01,Shevgaon-Bodhegaon,1,1102,1244,1244,1149,-0.2455854614685995,0.003950018314113137,0.0314522988953395,6
2014-09-01,Mangalwedha,4,1385,1457,1427,348,,0.007435851221462183,0.007435851221462183,1
2014-10-01,Mangalwedha,4,1225,1285,1285,112,,0.007435851221462183,0.007435851221462183,1
2014-11-01,Mangalwedha,4,1039,1185,1125,448,,0.007435851221462183,0.007435851221462183,1
2014-12-01,Mangalwedha,4,1100,1166,1137,309,,0.007435851221462183,0.007435851221462183,1
2015-01-01,Mangalwedha,4,1139,1238,1206,971,,0.007435851221462183,0.007435851221462183,1
2015-02-01,Mangalwedha,4,1156,1216,1201,432,,0.007435851221462183,0.007435851221462183,1
2015-03-01,Mangalwedha,4,1234,1329,1318,255,,0.007435851221462183,0.007435851221462183,1
2015-04-01,Mangalwedha,4,1193,1290,1272,834,,0.007435851221462183,0.007435851221462183,1
2015-05-01,Mangalwedha,4,1145,1243,1220,589,,0.007435851221462183,0.007435851221462183,1
2015-06-01,Mangalwedha,4,1278,1339,1323,254,,0.007435851221462183,0.007435851221462183,1
2015-07-01,Mangalwedha,4,1507,1541,1527,181,,0.007435851221462183,0.007435851221462183,1
2015-08-01,Mangalwedha,4,1504,1580,1568,170,0.19217279345234672,0.007435851221462183,0.007435851221462183,1
2015-09-01,Mangalwedha,4,1602,1679,1644,79,0.2277076716465114,0.007435851221462183,0.007435851221462183,1
